Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions,AQI_Category
Italy,Rubiera,74.0,1.0,Good,29.0,Good,6.0,Good,74.0,L1,181.6752338,7.418441135,L1,Moderate
Germany,Mettlach,53.0,1.0,,29.0,Good,3.0,Good,53.0,L1,145.7415236,2.464121532,L1,Moderate
India,Chikmagalur,25.0,1.0,Good,20.0,Good,0.0,Good,25.0,L0,64.44380889,-4.889700883,L0,Good
China,Maanshan,53.80468602090826,1.0,Good,31.0,Good,1.6604493505599913,Good,50.45029857342704,L3,139.41361840633272,7.52352625,L3,Unhealthy
Thailand,Pa Sang,22.0,1.0,Good,22.0,Good,0.0,Good,17.0,L0,57.19428293,2.18503566,L0,Good
France,Taverny,59.0,1.0,Good,21.0,Good,5.0,Good,59.0,L1,149.2732354,5.54541801,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Stirling,39.0,1.0,Good,31.0,Good,7.0,Good,39.0,L0,103.5242866,12.51307088,L0,Good
Belgium,Wichelen,60.0,1.0,Good,33.0,Good,5.0,Good,60.0,L1,158.5481812,-7.153238472,L1,Moderate
United States of America,New Britain,60.0,1.0,Good,19.0,Good,2.250008814711771,Good,60.0,L1,142.9164805,7.686569312,L1,Moderate
Italy,Prato,37.0,1.0,Good,37.0,Good,3.0,Good,18.0,L0,101.8950123,9.483029433,L0,Good
Colombia,Tame,20.0,1.0,Good,10.0,Good,0.0,Good,20.0,L0,62.46996038,4.288873715,L0,Good
Brazil,Boa Viagem,34.0,1.0,Good,12.0,Good,1.0,Good,34.0,L0,95.82097703,10.54435235,L0,Good
India,Savda,55.67611484303335,1.0,Good,30.0,Good,5.0,Good,53.89936118860467,L3,144.22125816128056,5.267132753,L3,Unhealthy
Iran (Islamic Republic of),Khalkhal,72.0,1.0,Good,41.0,Good,0.0,Good,72.0,L1,178.0431926,3.362156449,L1,Moderate
Nigeria,Awka,57.30696778541934,1.0,Good,30.0,Good,5.0,Good,55.11186262603596,L3,148.00201536795439,16.3855691,L3,Unhealthy
Netherlands,Best,30.0,1.0,Good,30.0,Good,2.0,Good,28.0,L0,68.47555532,2.212098446,L0,Good
United States of America,Oklahoma City,53.0,1.0,Good,26.0,Good,4.0,Good,53.0,L1,137.6261283,0.375393628,L1,Moderate
Russian Federation,Mikhaylovskoye,36.0,1.0,Good,36.0,Good,0.0,Good,34.0,L0,100.0428785,1.629057721,L0,Good
India,Madhipura,54.2023177499283,1.0,Good,36.0,Good,1.5283331269759042,Good,49.52007906752197,L2,140.30107765612001,9.940153774,L2,Unhealthy for Sensitive Groups
Italy,Belpasso,55.0,1.0,Good,45.0,Good,0.0,Good,55.0,L1,148.1677173,5.569250008,L1,Moderate
France,Vertou,32.0,1.0,Good,26.0,Good,2.0,Good,32.0,L0,90.17210216,6.660381621,L0,Good
India,Sarkhej,54.16852153787977,1.0,Good,40.0,Good,1.3622352829725832,Good,48.48519882356161,L3,140.18865013435135,9.677178783,L3,Unhealthy
Croatia,Velika Gorica,76.0,1.0,Good,32.612818571563324,Moderate,0.0,Good,76.0,L1,188.8182496,-1.366501209,L1,Moderate
Switzerland,Carouge,60.0,1.0,Good,42.0,Good,0.0,Good,60.0,L1,174.1160607,-5.134788322,L1,Moderate
Uzbekistan,Muborak,70.0,1.0,,45.0,Good,0.0,Good,70.0,L1,192.2846649,9.310885411,L1,Moderate
India,Bhagalpur,80.0,1.0,Good,30.771600898474734,Moderate,1.0,Good,80.0,L1,217.8625209,9.441269186,L1,Moderate
Ukraine,Obukhiv,73.0,1.0,,38.0,Good,2.0,Good,73.0,L1,189.3471047,4.363396731,L1,Moderate
United States of America,Vidor,31.0,1.0,Good,31.0,Good,1.0,Good,31.0,L0,72.73599951,-9.749398987,L0,Good
India,Tadepalle,52.832858674852794,1.0,Good,40.0,Good,0.0,Good,46.74078616506031,L2,136.89902191358013,6.891884603,L2,Unhealthy for Sensitive Groups
Sweden,Enkoping,30.0,1.0,Good,30.0,Good,0.0,Good,13.0,L0,75.96296566,3.395581391,L0,Good
,Si Racha,38.0,1.0,Good,20.0,Good,0.0,Good,38.0,L0,119.3335975,0.755533402,L0,Good
China,Langfang,57.33350405261665,1.0,Good,19.47320736099012,Unhealthy for Sensitive Groups,7.0,Good,58.64617975727801,L2,148.37241344900625,9.4974247,L2,Unhealthy for Sensitive Groups
India,Maur,52.151528471381305,1.0,Good,30.475071885181293,Moderate,1.0,Good,48.99284627405054,L5,135.4961588514872,-0.863298196,L5,Hazardous
Ukraine,Khust,59.0,1.0,Good,47.0,Good,0.0,Good,59.0,L1,146.2866828,3.177717386,L1,Moderate
Poland,Wloszczowa,38.0,1.0,Good,30.0,Good,1.0,Good,38.0,L0,111.5223339,4.045499053,L0,Good
United States of America,Lancaster,41.0,1.0,,41.0,Good,3.0,Good,32.0,L0,100.4422652,4.245957552,L0,Good
India,Cumbum,106.0,1.0,,37.0,Good,0.0,Good,106.0,L2,264.6815638,5.172586501,L2,Unhealthy for Sensitive Groups
Germany,Herdecke,60.0,1.0,Good,30.0,Good,6.0,Good,60.0,L1,158.4965005,0.539929381,L1,Moderate
Switzerland,Herisau,57.0,1.0,Good,24.0,Good,3.0,Good,57.0,L1,163.3211675,2.997730684,L1,Moderate
Philippines,Lianga,50.0,1.0,Good,20.0,Good,0.0,Good,50.0,L0,127.8089947,-2.117459412,L0,Good
Germany,Bad Oeynhausen,34.0,1.0,Good,31.0,Good,1.0,Good,34.0,L0,83.10723377,1.495674451,L0,Good
Italy,Tortona,32.0,1.0,Good,32.0,Good,2.0,Good,26.0,L0,67.15056031,-3.160469013,L0,Good
India,Beypur,74.0,1.0,Good,24.0,Good,0.0,Good,74.0,L1,181.9940966,4.707970531,L1,Moderate
Belgium,Sint Gillis Waas,35.0,1.0,Good,32.0,Good,1.3312099650079716,Good,35.0,L0,95.04819218,4.730343898,L0,Good
India,Badlapur,53.29649721707691,1.0,Good,19.0,Good,2.054423669875921,Good,53.05077902017212,L3,138.32599322455428,4.520977876840599,L3,Unhealthy
Spain,Alora,33.0,1.0,Good,32.0,Good,3.0,Good,33.0,L0,73.43184991,0.454730326,L0,Good
Croatia,Karlovac,31.0,1.0,Good,31.0,Good,1.0,Good,28.0,L0,103.362641,12.10469409,L0,Good
United States of America,Hurricane,32.0,1.0,Good,32.0,Good,1.0,Good,28.0,L0,79.24414546,8.851774122,L0,Good
Iran (Islamic Republic of),Ramsar,59.0,1.0,Good,39.0,Good,1.4622558638184204,Good,59.0,L1,154.9830548,2.89433955,L1,Moderate
India,Qadian,53.41969288744727,1.0,Good,41.0,Good,1.1936226520586855,Good,47.61485384622467,L3,138.4302742549412,4.990601511,L3,Unhealthy
Russian Federation,Povorino,61.0,1.0,Good,38.0,Good,0.0,Good,61.0,L1,130.9817194,2.733335419,L1,Moderate
Romania,Onesti,37.0,1.0,Good,31.0,Good,0.0,Good,16.0,L0,106.6831661,-0.464440629,L0,Good
Germany,Wehr,94.0,1.0,Good,25.0,Good,3.0,Good,94.0,L1,234.7786981,5.883424179,L1,Moderate
Panama,Las Cumbres,97.0,1.0,,16.0,Good,3.0213183612039387,Good,97.0,L1,246.8276969,9.240915985,L1,Moderate
Spain,Tias,25.0,1.0,,25.0,Good,0.0,Good,9.0,L0,56.19479544,6.184658648,L0,Good
Jordan,Judayta,91.0,1.0,Good,47.0,Good,3.0,Good,91.0,L1,232.4892887,2.413302717,L1,Moderate
Lithuania,Vilnius,35.0,1.0,Good,35.0,Good,0.0,Good,24.0,L0,87.80235536,-1.072655507,L0,Good
Indonesia,Karanganom,57.0,1.0,Good,32.0,Good,0.0,Good,57.0,L1,152.5014303,7.074066022,L1,Moderate
United States of America,Glassboro,52.0,1.0,Good,22.0,Good,2.0066853882005007,Good,52.0,L1,142.1329818,6.96592607,L1,Moderate
Democratic Republic of the Congo,Bondo,74.0,1.0,Good,31.0,Good,0.0,Good,74.0,L1,200.0662463,7.179577376,L1,Moderate
Philippines,Santiago,62.0,1.0,Good,13.0,Good,6.0,Good,62.0,L1,163.2889154,8.649406035,L1,Moderate
Venezuela (Bolivarian Republic of),Los Rastrojos,52.0,1.0,Good,13.0,Good,2.3270607877535534,Good,52.0,L1,140.6612095,7.987087545,L1,Moderate
Poland,Dobre Miasto,37.0,1.0,Good,33.0,Good,0.0,Good,37.0,L0,97.90924749,5.616587894,L0,Good
United Kingdom of Great Britain and Northern Ireland,Ballymena,26.0,1.0,Good,26.0,Good,4.0,Good,26.0,L0,58.75799903,-1.326647754,L0,Good
India,Talwandi Bhai,51.90747214594588,1.0,Good,30.565175666054554,Unhealthy,1.0,Good,48.790163737491724,L3,134.9298708671027,-2.534956888,L3,Unhealthy
Italy,Alfonsine,42.0,1.0,,38.0,Good,3.0,Good,42.0,L0,94.26370978,1.463571994,L0,Good
Japan,Niimi,35.0,1.0,,35.0,Good,2.0,Good,26.0,L0,97.66946516,-0.396759791,L0,Good
United States of America,East Point,66.0,1.0,Good,28.0,Good,2.0574166100881577,Good,66.0,L1,190.5749547,7.101434458,L1,Moderate
United States of America,Central Islip,60.0,1.0,Good,14.0,Good,2.3613028570275905,Good,60.0,L1,163.6805465,5.22974259,L1,Moderate
Germany,Buchloe,69.0,1.0,Good,35.0,Good,2.0,Good,69.0,L1,184.1739444,9.124808078,L1,Moderate
United States of America,Rowlett,54.0,1.0,Good,29.0,Good,5.0,Good,54.0,L1,150.6537627,-1.765616257,L1,Moderate
United Republic of Tanzania,Mabama,21.0,1.0,Good,21.0,Good,0.0,Good,16.0,L0,48.07738806,-5.234634088,L0,Good
Brazil,Campos Gerais,51.0,1.0,Good,5.0,Good,4.0,Good,51.0,L1,129.2875723,9.314553509,L1,Moderate
Netherlands,Gouda,38.0,1.0,Good,38.0,Good,0.784107651447741,Good,30.0,L0,100.0767319,-2.265471318,L0,Good
Mexico,Yaqui,70.0,1.0,Good,26.0,Good,0.0,Good,70.0,L1,182.1453292,7.671671078,L1,Moderate
Italy,Carugate,89.0,1.0,,33.309460592891284,Moderate,0.0,Good,89.0,L1,209.1442952,9.279453906,L1,Moderate
Japan,Ina,50.0,1.0,,39.0,Good,0.0,Good,50.0,L0,128.6637227,5.993043722,L0,Good
United Republic of Tanzania,Bagamoyo,41.0,1.0,,17.0,Good,0.0,Good,41.0,L0,105.6407552,-0.891297518,L0,Good
United States of America,Belmont,54.0,1.0,Good,24.0,Good,2.0217646194894434,Good,54.0,L1,145.0254625,8.84055481,L1,Moderate
India,Amravati,51.71270258641573,1.0,Good,32.0,Good,0.0,Good,47.76502918054837,L3,134.3331429381458,0.473077805,L3,Unhealthy
Japan,Omigawa,42.0,1.0,Good,42.0,Good,1.0,Good,35.0,L0,106.4155381,3.705027424,L0,Good
Pakistan,Pasrur,52.87846410890135,1.0,Good,30.208093084222057,Unhealthy for Sensitive Groups,1.0,Good,49.59740845384691,L3,137.1834338171335,4.093672650728626,L3,Unhealthy
United States of America,Lake Mary,59.0,1.0,Good,31.0,Good,1.7505038933141224,Good,59.0,L1,151.9564873,3.970523755,L1,Moderate
United Kingdom of Great Britain and Northern Ireland,Bury,40.0,1.0,Good,35.0,Good,1.0,Good,40.0,L0,95.37348988,-1.576647024,L0,Good
Italy,Casalmaggiore,79.0,1.0,Good,44.0,Good,4.0,Good,79.0,L1,196.4687991,-1.088784942,L1,Moderate
Republic of North Macedonia,Kicevo,63.0,1.0,Good,41.0,Good,0.0,Good,63.0,L1,159.1475592,2.394373855,L1,Moderate
China,Nianzishan,79.0,1.0,,41.0,Good,1.0,Good,79.0,L1,212.8865429,16.20515314,L1,Moderate
,Rianxo,25.0,1.0,Good,22.0,Good,3.0,Good,25.0,L0,55.68798827,4.623132067,L0,Good
Italy,Manduria,49.0,1.0,Good,49.0,Good,3.0,Good,22.0,L0,131.4263412,3.785148438,L0,Good
United States of America,Tahlequah,75.0,1.0,Good,26.0,Good,3.0,Good,75.0,L1,199.8760676,0.54412635,L1,Moderate
Philippines,Pinamungahan,58.0,1.0,Good,23.0,Good,0.0,Good,58.0,L1,160.325462,-1.470995139,L1,Moderate
France,La Chapelle Sur Erdre,24.0,1.0,Good,22.0,Good,4.0,Good,24.0,L0,54.85240507,4.652516391,L0,Good
Papua New Guinea,Arawa,50.0,1.0,Good,12.0,Good,0.0,Good,50.0,L0,140.5817009,1.655725036,L0,Good
Portugal,Ourem,30.0,1.0,Good,30.0,Good,2.0,Good,21.0,L0,67.95185659,4.929492159,L0,Good
Italy,Cervia,75.0,1.0,Good,32.4932521881874,Moderate,0.0,Good,75.0,L1,196.171998,-1.921036144,L1,Moderate
Kenya,Kabarnet,56.0,1.0,,26.0,Good,0.0,Good,56.0,L1,139.0764404,10.64443068,L1,Moderate
Poland,Kielce,79.0,1.0,Good,36.0,Good,1.0,Good,79.0,L1,205.1652165,9.165836456,L1,Moderate
France,Saran,29.0,1.0,Good,29.0,Good,2.0,Good,26.0,L0,65.56363168,-2.2996545,L0,Good
Philippines,Tayug,89.0,1.0,Good,29.0,Good,1.0,Good,89.0,L1,233.4253031,1.875588136,L1,Moderate
United States of America,Irvington,107.0,1.0,Good,12.0,Good,3.1700670813183915,Good,107.0,L2,266.8605251,3.357439036,L2,Unhealthy for Sensitive Groups
India,Mallur,57.0,1.0,Good,29.0,Good,1.0,Good,57.0,L1,153.8319518,5.362332054,L1,Moderate
United States of America,Marlborough,46.0,1.0,Good,41.0,Good,1.0,Good,46.0,L0,125.3545875,5.393315461,L0,Good
New Zealand,Invercargill,14.0,1.0,Good,12.0,Good,1.0,Good,14.0,L0,54.35570993,0.203506377,L0,Good
United States of America,Huntington,63.0,1.0,Good,23.0,Good,2.0557367962021407,Good,63.0,L1,147.0924219,3.268391744,L1,Moderate
Poland,Lezajsk,100.0,1.0,Good,32.0,Good,2.0,Good,100.0,L2,269.6644239,-0.056920157,L2,Unhealthy for Sensitive Groups
Egypt,Rosetta,60.0,1.0,Good,28.618733386070687,Moderate,3.0,Good,55.0,L1,166.7929718,15.15217816,L1,Moderate
France,Roanne,39.0,1.0,Good,24.0,Good,2.0,Good,39.0,L0,101.1874303,3.417320304,L0,Good
Pakistan,Bhit Shah,54.048479138465915,1.0,Good,24.0,Good,2.0,Good,52.448023526421935,L3,140.05589633041484,8.602806767,L3,Unhealthy
Italy,San Cataldo,57.0,1.0,Good,46.0,Good,0.0,Good,57.0,L1,135.3271731,12.84331514,L1,Moderate
,Marapanim,25.0,1.0,Good,15.0,Good,1.8009951129018877,Good,25.0,L0,75.39222499,7.856641763,L0,Good
Brazil,Astolfo Dutra,65.0,1.0,Good,3.0,Good,5.0,Good,65.0,L1,177.7945748,-7.57159124,L1,Moderate
India,Sattur,62.0,1.0,Good,27.0,Good,1.0,Good,62.0,L1,134.6971248,1.629630891,L1,Moderate
Mexico,Leon,50.0,1.0,,14.0,Good,3.0,Good,50.0,L0,123.8721131,2.999487932,L0,Good
United States of America,Wrentham,46.0,1.0,Good,31.0,Good,1.6208484978316988,Good,46.0,L0,127.591392,7.392584616,L0,Good
India,Sambalpur,52.87847225820162,1.0,Good,30.206689643672178,Moderate,1.0,Good,49.59655449749257,L3,137.18289870985745,4.115888054,L3,Unhealthy
India,Panna,52.549355848673414,1.0,Good,45.0,Good,0.0,Good,45.36935014962086,L4,136.22244516412093,4.197885103,L4,Very Unhealthy
Spain,Mairena Del Alcor,43.0,1.0,Good,43.0,Good,0.0,Good,14.0,L0,114.4405194,2.688566632,L0,Good
Italy,Castel San Giovanni,59.0,1.0,Good,34.0,Good,2.0,Good,59.0,L1,150.0681905,4.804724389,L1,Moderate
Spain,Bolanos De Calatrava,43.0,1.0,Good,15.0,Good,4.0,Good,43.0,L0,118.6494464,9.139645509,L0,Good
United Republic of Tanzania,Ikwiriri,29.0,1.0,Good,19.0,Good,1.850012673542737,Good,29.0,L0,75.02664036,12.46195145,L0,Good
Uganda,Bugembe,55.277039888251856,1.0,Good,14.0,Good,4.0,Good,56.77209182454927,L3,143.2195609884897,9.48850743,L3,Unhealthy
Latvia,Dobele,44.0,1.0,Good,34.0,Good,0.0,Good,44.0,L0,106.6078248,12.30662553,L0,Good
Indonesia,Porong,54.379649470181874,1.0,Good,11.0,Good,2.5606265509297113,Good,55.960080381233375,L3,140.92453788911575,11.37220554,L3,Unhealthy
United States of America,Apache Junction,48.0,1.0,Good,21.0,Good,1.889518560013156,Good,48.0,L0,121.4390795,3.941741037,L0,Good
United States of America,Cherry Hill,52.0,1.0,Good,29.0,Good,1.597606928713095,Good,52.0,L1,134.9788832,0.044851983,L1,Moderate
Brazil,Bela Vista De Goias,24.0,1.0,,24.0,Good,0.0,Good,10.0,L0,69.86287305,1.36630886,L0,Good
Russian Federation,Krasnoye Selo,26.0,1.0,Good,26.0,Good,4.0,Good,19.0,L0,58.41344903,7.305856768,L0,Good
Japan,Hobara,44.0,1.0,Good,44.0,Good,0.33668744756706026,Good,22.0,L0,125.9419152,-1.051741747,L0,Good
India,Etah,55.01394789934486,1.0,Good,50.0,Good,3.0,Good,47.675077138926376,L5,142.33196579721957,6.720450902,L5,Hazardous
Japan,Onomichi,51.0,1.0,Good,46.0,Good,3.0,Good,51.0,L1,134.7703448,0.112195129,L1,Moderate
France,Laon,59.0,1.0,Good,28.0,Good,1.8954349680949982,Good,59.0,L1,148.4132765,5.866476963,L1,Moderate
Iran (Islamic Republic of),Bukan,61.0,1.0,Good,47.0,Good,0.0,Good,61.0,L1,167.3783442,5.41350818,L1,Moderate
,West Bay,51.37044826332018,1.0,Good,30.0,Good,0.0,Good,47.974834297314494,L2,133.5474413377808,-1.555780387,L2,Unhealthy for Sensitive Groups
Germany,Vechelde,39.0,1.0,Good,33.0,Good,1.0,Good,39.0,L0,117.5614724,2.613979256,L0,Good
Russian Federation,Vorotynsk,39.0,1.0,Good,31.0,Good,0.0,Good,20.0,L0,94.53775877,1.779046932,L0,Good
Brazil,Bom Jesus,24.0,1.0,Good,11.0,Good,0.0,Good,24.0,L0,58.48324878,-0.739040268,L0,Good
Russian Federation,Novosilikatnyy,48.0,1.0,Good,45.0,Good,1.0,Good,48.0,L0,124.5117016,12.13305407,L0,Good
India,Kariapatti,90.0,1.0,Good,19.0,Good,5.0,Good,90.0,L1,215.9992877,10.40979331,L1,Moderate
China,Yuanlin,54.518625919554786,1.0,Good,28.2257612966633,Unhealthy for Sensitive Groups,1.8938271552008765,Good,51.739192032712815,L2,141.10565314554074,12.00107703,L2,Unhealthy for Sensitive Groups
Australia,Newcastle,48.0,1.0,,9.0,Good,2.3017323872798423,Good,48.0,L0,123.159676,4.646867849,L0,Good
Russian Federation,Leningradskaya,37.0,1.0,Good,37.0,Good,1.0,Good,9.0,L0,77.3370569,-3.359073486,L0,Good
,Monster,55.0,1.0,Good,37.0,Good,1.6461546889271994,Good,55.0,L1,145.3580329,10.2032778,L1,Moderate
Peru,Cajamarca,44.0,1.0,Good,3.0,Good,2.0,Good,44.0,L0,110.1487006,9.30744576,L0,Good
Switzerland,Solothurn,36.0,1.0,Good,23.0,Good,2.0,Good,36.0,L0,93.34159094,-4.113680276,L0,Good
Panama,Pacora,55.10951913048565,1.0,Good,11.0,Good,2.6859106615754764,Good,56.56302307641675,L2,142.63024513835796,15.92744478,L2,Unhealthy for Sensitive Groups
India,Hindupur,24.0,1.0,Good,24.0,Good,0.0,Good,21.0,L0,76.34538331,-3.709498144,L0,Good
Burkina Faso,Tenkodogo,54.0,1.0,Good,27.0,Good,0.0,Good,54.0,L1,144.4123982,8.935423486,L1,Moderate
Togo,Tsevie,90.0,1.0,Good,15.0,Good,2.0,Good,90.0,L1,230.0827449,6.488900669,L1,Moderate
Czechia,Ceska Trebova,74.0,1.0,Good,44.0,Good,1.0,Good,74.0,L1,196.6226298,-0.828335716,L1,Moderate
Turkey,Burhaniye,61.0,1.0,Good,39.0,Good,0.0,Good,61.0,L1,173.9061456,-5.328175435,L1,Moderate
Brazil,Juiz De Fora,78.0,1.0,Good,4.0,Good,2.990440271725727,Good,78.0,L1,202.0934886,5.187057684,L1,Moderate
Indonesia,Ngoro,53.19555054577156,1.0,Good,30.089626697272834,Moderate,1.0,Good,49.85987990607495,L2,137.91862077745694,6.287709147,L2,Unhealthy for Sensitive Groups
Bangladesh,Phultala,54.901110277913084,1.0,Good,24.9155878915039,Moderate,4.0,Good,53.95122128985537,L3,142.30227450476778,5.403349644,L3,Unhealthy
France,Bolbec,43.0,1.0,,32.0,Good,2.0,Good,43.0,L0,109.0409272,4.527987534,L0,Good
India,Lonar,56.193775840870124,1.0,Good,26.0,Good,3.0,Good,54.123411388088265,L3,145.15996067884447,18.41776831,L3,Unhealthy
Colombia,Repelon,88.0,1.0,,16.0,Good,2.734208050114485,Good,88.0,L1,225.8850347,3.93273412,L1,Moderate
United States of America,Middleton,56.0,1.0,Good,34.0,Good,1.0,Good,56.0,L1,151.2873055,10.12671314,L1,Moderate
,Biloxi,27.0,1.0,,27.0,Good,2.0,Good,22.0,L0,62.18893947,4.044636704,L0,Good
United Kingdom of Great Britain and Northern Ireland,Heswall,33.0,1.0,Good,33.0,Good,4.0,Good,24.0,L0,88.45344199,12.2822599,L0,Good
United Kingdom of Great Britain and Northern Ireland,Aylesbury,34.0,1.0,Good,30.0,Good,1.0,Good,34.0,L0,86.998444,7.010546036,L0,Good
Russian Federation,Kukmor,54.0,1.0,,37.0,Good,0.0,Good,54.0,L1,135.0306797,9.294849979,L1,Moderate
Brazil,Iguai,15.0,1.0,,13.0,Good,0.0,Good,15.0,L0,37.8614557,2.64963696,L0,Good
Belgium,Oud Heverlee,45.0,1.0,Good,26.0,Good,4.0,Good,45.0,L0,103.5077174,5.558094183,L0,Good
United States of America,Arkadelphia,73.0,1.0,Good,26.0,Good,3.0,Good,73.0,L1,167.4613764,3.97800984,L1,Moderate
Brazil,Mongagua,82.0,1.0,Good,31.0,Good,5.0,Good,82.0,L1,203.8674619,5.612659682,L1,Moderate
Italy,Bitonto,54.0,1.0,Good,53.0,Moderate,0.0,Good,54.0,L1,152.9699455,11.47663867,L1,Moderate
United States of America,Southglenn,76.0,1.0,Good,5.0,Good,3.020641018494464,Good,76.0,L1,192.6537943,9.078433555,L1,Moderate
Germany,Morfelden Walldorf,68.0,1.0,Good,38.0,Good,4.0,Good,68.0,L1,183.2932377,1.91869296,L1,Moderate
France,Auchel,31.0,1.0,Good,29.0,Good,1.0,Good,31.0,L0,98.98412608,5.978313522,L0,Good
United States of America,Mount Prospect,62.0,1.0,Good,24.0,Good,2.1009716112694727,Good,62.0,L1,158.742537,6.735742188,L1,Moderate
Tunisia,Bajah,47.0,1.0,Good,47.0,Good,2.0,Good,34.0,L0,136.8506541,5.824066768,L0,Good
India,Harsud,51.64403376172746,1.0,Good,39.0,Good,1.0,Good,46.633726664514896,L3,134.28529706038097,-5.56700374,L3,Unhealthy
Indonesia,Ngemplak,63.0,1.0,Good,35.0,Good,0.0,Good,63.0,L1,166.033938,1.540665524,L1,Moderate
Germany,Hersbruck,43.0,1.0,,35.0,Good,2.0,Good,43.0,L0,115.810389,5.03612735,L0,Good
