Country,City,AQI_Value,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2,AQI_Category
Iran (Islamic Republic of),Ramsar,59.0,1.0,Good,39.0,Good,1.0,Good,59.0,L1,2.89433955,Moderate
India,Qadian,50.0,1.0,Good,41.0,Good,1.0,Good,50.0,L3,4.990601511,Unhealthy
Russian Federation,Povorino,61.0,1.0,Good,38.0,Good,0.0,Good,61.0,L1,2.733335419,Moderate
Romania,Onesti,37.0,1.0,Good,31.0,Good,0.0,Good,16.0,L0,-0.464440629,Good
Germany,Wehr,94.0,1.0,Good,25.0,Good,3.0,Good,94.0,L1,5.883424179,Moderate
Panama,Las Cumbres,97.0,1.0,,16.0,Good,1.0,Good,97.0,L1,9.240915985,Moderate
Spain,Tias,25.0,1.0,,25.0,Good,0.0,Good,9.0,L0,6.184658648,Good
Jordan,Judayta,91.0,1.0,Good,47.0,Good,3.0,Good,91.0,L1,2.413302717,Moderate
Lithuania,Vilnius,35.0,1.0,Good,35.0,Good,0.0,Good,24.0,L0,-1.072655507,Good
Indonesia,Karanganom,57.0,1.0,Good,32.0,Good,0.0,Good,57.0,L1,7.074066022,Moderate
United States of America,Glassboro,52.0,1.0,Good,22.0,Good,1.0,Good,52.0,L1,6.96592607,Moderate
Democratic Republic of the Congo,Bondo,74.0,1.0,Good,31.0,Good,0.0,Good,74.0,L1,7.179577376,Moderate
Philippines,Santiago,62.0,1.0,Good,13.0,Good,6.0,Good,62.0,L1,8.649406035,Moderate
Venezuela (Bolivarian Republic of),Los Rastrojos,52.0,1.0,Good,13.0,Good,1.0,Good,52.0,L1,7.987087545,Moderate
Poland,Dobre Miasto,37.0,1.0,Good,33.0,Good,0.0,Good,37.0,L0,5.616587894,Good
United Kingdom of Great Britain and Northern Ireland,Ballymena,26.0,1.0,Good,26.0,Good,4.0,Good,26.0,L0,-1.326647754,Good
India,Talwandi Bhai,50.0,1.0,Good,31.0,Unhealthy,1.0,Good,50.0,L3,-2.534956888,Unhealthy
Italy,Alfonsine,42.0,1.0,,38.0,Good,3.0,Good,42.0,L0,1.463571994,Good
Japan,Niimi,35.0,1.0,,35.0,Good,2.0,Good,26.0,L0,-0.396759791,Good
United States of America,East Point,66.0,1.0,Good,28.0,Good,1.0,Good,66.0,L1,7.101434458,Moderate
United States of America,Central Islip,60.0,1.0,Good,14.0,Good,1.0,Good,60.0,L1,5.22974259,Moderate
Germany,Buchloe,69.0,1.0,Good,35.0,Good,2.0,Good,69.0,L1,9.124808078,Moderate
United States of America,Rowlett,54.0,1.0,Good,29.0,Good,5.0,Good,54.0,L1,-1.765616257,Moderate
United Republic of Tanzania,Mabama,21.0,1.0,Good,21.0,Good,0.0,Good,16.0,L0,-5.234634088,Good
Brazil,Campos Gerais,51.0,1.0,Good,5.0,Good,4.0,Good,51.0,L1,9.314553509,Moderate
Netherlands,Gouda,38.0,1.0,Good,38.0,Good,1.0,Good,30.0,L0,-2.265471318,Good
Mexico,Yaqui,70.0,1.0,Good,26.0,Good,0.0,Good,70.0,L1,7.671671078,Moderate
Italy,Carugate,89.0,1.0,,31.0,Moderate,0.0,Good,89.0,L1,9.279453906,Moderate
Japan,Ina,50.0,1.0,,39.0,Good,0.0,Good,50.0,L0,5.993043722,Good
United Republic of Tanzania,Bagamoyo,41.0,1.0,,17.0,Good,0.0,Good,41.0,L0,-0.891297518,Good
United States of America,Belmont,54.0,1.0,Good,24.0,Good,1.0,Good,54.0,L1,8.84055481,Moderate
India,Amravati,50.0,1.0,Good,32.0,Good,0.0,Good,50.0,L3,0.473077805,Unhealthy
Japan,Omigawa,42.0,1.0,Good,42.0,Good,1.0,Good,35.0,L0,3.705027424,Good
Pakistan,Pasrur,50.0,1.0,Good,31.0,Unhealthy for Sensitive Groups,1.0,Good,50.0,L3,4.237580481,Unhealthy
United States of America,Lake Mary,59.0,1.0,Good,31.0,Good,1.0,Good,59.0,L1,3.970523755,Moderate
United Kingdom of Great Britain and Northern Ireland,Bury,40.0,1.0,Good,35.0,Good,1.0,Good,40.0,L0,-1.576647024,Good
Italy,Casalmaggiore,79.0,1.0,Good,44.0,Good,4.0,Good,79.0,L1,-1.088784942,Moderate
Republic of North Macedonia,Kicevo,63.0,1.0,Good,41.0,Good,0.0,Good,63.0,L1,2.394373855,Moderate
China,Nianzishan,79.0,1.0,,41.0,Good,1.0,Good,79.0,L1,16.20515314,Moderate
,Rianxo,25.0,1.0,Good,22.0,Good,3.0,Good,25.0,L0,4.623132067,Good
Italy,Manduria,49.0,1.0,Good,49.0,Good,3.0,Good,22.0,L0,3.785148438,Good
United States of America,Tahlequah,75.0,1.0,Good,26.0,Good,3.0,Good,75.0,L1,0.54412635,Moderate
Philippines,Pinamungahan,58.0,1.0,Good,23.0,Good,0.0,Good,58.0,L1,-1.470995139,Moderate
France,La Chapelle Sur Erdre,24.0,1.0,Good,22.0,Good,4.0,Good,24.0,L0,4.652516391,Good
Papua New Guinea,Arawa,50.0,1.0,Good,12.0,Good,0.0,Good,50.0,L0,1.655725036,Good
Portugal,Ourem,30.0,1.0,Good,30.0,Good,2.0,Good,21.0,L0,4.929492159,Good
Italy,Cervia,75.0,1.0,Good,31.0,Moderate,0.0,Good,75.0,L1,-1.921036144,Moderate
Kenya,Kabarnet,56.0,1.0,,26.0,Good,0.0,Good,56.0,L1,10.64443068,Moderate
Poland,Kielce,79.0,1.0,Good,36.0,Good,1.0,Good,79.0,L1,9.165836456,Moderate
France,Saran,29.0,1.0,Good,29.0,Good,2.0,Good,26.0,L0,-2.2996545,Good
Philippines,Tayug,89.0,1.0,Good,29.0,Good,1.0,Good,89.0,L1,1.875588136,Moderate
United States of America,Irvington,107.0,1.0,Good,12.0,Good,1.0,Good,107.0,L2,3.357439036,Unhealthy for Sensitive Groups
India,Mallur,57.0,1.0,Good,29.0,Good,1.0,Good,57.0,L1,5.362332054,Moderate
United States of America,Marlborough,46.0,1.0,Good,41.0,Good,1.0,Good,46.0,L0,5.393315461,Good
New Zealand,Invercargill,14.0,1.0,Good,12.0,Good,1.0,Good,14.0,L0,0.203506377,Good
United States of America,Huntington,63.0,1.0,Good,23.0,Good,1.0,Good,63.0,L1,3.268391744,Moderate
Poland,Lezajsk,100.0,1.0,Good,32.0,Good,2.0,Good,100.0,L2,-0.056920157,Unhealthy for Sensitive Groups
Egypt,Rosetta,60.0,1.0,Good,31.0,Moderate,3.0,Good,55.0,L1,15.15217816,Moderate
France,Roanne,39.0,1.0,Good,24.0,Good,2.0,Good,39.0,L0,3.417320304,Good
Pakistan,Bhit Shah,50.0,1.0,Good,24.0,Good,2.0,Good,50.0,L3,8.602806767,Unhealthy
Italy,San Cataldo,57.0,1.0,Good,46.0,Good,0.0,Good,57.0,L1,12.84331514,Moderate
,Marapanim,25.0,1.0,Good,15.0,Good,1.0,Good,25.0,L0,7.856641763,Good
Brazil,Astolfo Dutra,65.0,1.0,Good,3.0,Good,5.0,Good,65.0,L1,-7.57159124,Moderate
India,Sattur,62.0,1.0,Good,27.0,Good,1.0,Good,62.0,L1,1.629630891,Moderate
Mexico,Leon,50.0,1.0,,14.0,Good,3.0,Good,50.0,L0,2.999487932,Good
United States of America,Wrentham,46.0,1.0,Good,31.0,Good,1.0,Good,46.0,L0,7.392584616,Good
India,Sambalpur,50.0,1.0,Good,31.0,Moderate,1.0,Good,50.0,L3,4.115888054,Unhealthy
India,Panna,50.0,1.0,Good,45.0,Good,0.0,Good,50.0,L4,4.197885103,Very Unhealthy
Spain,Mairena Del Alcor,43.0,1.0,Good,43.0,Good,0.0,Good,14.0,L0,2.688566632,Good
Italy,Castel San Giovanni,59.0,1.0,Good,34.0,Good,2.0,Good,59.0,L1,4.804724389,Moderate
Spain,Bolanos De Calatrava,43.0,1.0,Good,15.0,Good,4.0,Good,43.0,L0,9.139645509,Good
United Republic of Tanzania,Ikwiriri,29.0,1.0,Good,19.0,Good,1.0,Good,29.0,L0,12.46195145,Good
Uganda,Bugembe,50.0,1.0,Good,14.0,Good,4.0,Good,50.0,L3,9.48850743,Unhealthy
Latvia,Dobele,44.0,1.0,Good,34.0,Good,0.0,Good,44.0,L0,12.30662553,Good
Indonesia,Porong,50.0,1.0,Good,11.0,Good,1.0,Good,50.0,L3,11.37220554,Unhealthy
United States of America,Apache Junction,48.0,1.0,Good,21.0,Good,1.0,Good,48.0,L0,3.941741037,Good
United States of America,Cherry Hill,52.0,1.0,Good,29.0,Good,1.0,Good,52.0,L1,0.044851983,Moderate
Brazil,Bela Vista De Goias,24.0,1.0,,24.0,Good,0.0,Good,10.0,L0,1.36630886,Good
Russian Federation,Krasnoye Selo,26.0,1.0,Good,26.0,Good,4.0,Good,19.0,L0,7.305856768,Good
Japan,Hobara,44.0,1.0,Good,44.0,Good,1.0,Good,22.0,L0,-1.051741747,Good
India,Etah,50.0,1.0,Good,50.0,Good,3.0,Good,50.0,L5,6.720450902,Hazardous
Japan,Onomichi,51.0,1.0,Good,46.0,Good,3.0,Good,51.0,L1,0.112195129,Moderate
France,Laon,59.0,1.0,Good,28.0,Good,1.0,Good,59.0,L1,5.866476963,Moderate
Iran (Islamic Republic of),Bukan,61.0,1.0,Good,47.0,Good,0.0,Good,61.0,L1,5.41350818,Moderate
,West Bay,50.0,1.0,Good,30.0,Good,0.0,Good,50.0,L2,-1.555780387,Unhealthy for Sensitive Groups
Germany,Vechelde,39.0,1.0,Good,33.0,Good,1.0,Good,39.0,L0,2.613979256,Good
Russian Federation,Vorotynsk,39.0,1.0,Good,31.0,Good,0.0,Good,20.0,L0,1.779046932,Good
Brazil,Bom Jesus,24.0,1.0,Good,11.0,Good,0.0,Good,24.0,L0,-0.739040268,Good
Russian Federation,Novosilikatnyy,48.0,1.0,Good,45.0,Good,1.0,Good,48.0,L0,12.13305407,Good
India,Kariapatti,90.0,1.0,Good,19.0,Good,5.0,Good,90.0,L1,10.40979331,Moderate
China,Yuanlin,50.0,1.0,Good,31.0,Unhealthy for Sensitive Groups,1.0,Good,50.0,L2,12.00107703,Unhealthy for Sensitive Groups
Australia,Newcastle,48.0,1.0,,9.0,Good,1.0,Good,48.0,L0,4.646867849,Good
Russian Federation,Leningradskaya,37.0,1.0,Good,37.0,Good,1.0,Good,9.0,L0,-3.359073486,Good
,Monster,55.0,1.0,Good,37.0,Good,1.0,Good,55.0,L1,10.2032778,Moderate
Peru,Cajamarca,44.0,1.0,Good,3.0,Good,2.0,Good,44.0,L0,9.30744576,Good
Switzerland,Solothurn,36.0,1.0,Good,23.0,Good,2.0,Good,36.0,L0,-4.113680276,Good
Panama,Pacora,50.0,1.0,Good,11.0,Good,1.0,Good,50.0,L2,15.92744478,Unhealthy for Sensitive Groups
India,Hindupur,24.0,1.0,Good,24.0,Good,0.0,Good,21.0,L0,-3.709498144,Good
Burkina Faso,Tenkodogo,54.0,1.0,Good,27.0,Good,0.0,Good,54.0,L1,8.935423486,Moderate
Togo,Tsevie,90.0,1.0,Good,15.0,Good,2.0,Good,90.0,L1,6.488900669,Moderate
Czechia,Ceska Trebova,74.0,1.0,Good,44.0,Good,1.0,Good,74.0,L1,-0.828335716,Moderate
Turkey,Burhaniye,61.0,1.0,Good,39.0,Good,0.0,Good,61.0,L1,-5.328175435,Moderate
Brazil,Juiz De Fora,78.0,1.0,Good,4.0,Good,1.0,Good,78.0,L1,5.187057684,Moderate
Indonesia,Ngoro,50.0,1.0,Good,31.0,Moderate,1.0,Good,50.0,L2,6.287709147,Unhealthy for Sensitive Groups
Bangladesh,Phultala,50.0,1.0,Good,31.0,Moderate,4.0,Good,50.0,L3,5.403349644,Unhealthy
France,Bolbec,43.0,1.0,,32.0,Good,2.0,Good,43.0,L0,4.527987534,Good
India,Lonar,50.0,1.0,Good,26.0,Good,3.0,Good,50.0,L3,18.41776831,Unhealthy
Colombia,Repelon,88.0,1.0,,16.0,Good,1.0,Good,88.0,L1,3.93273412,Moderate
United States of America,Middleton,56.0,1.0,Good,34.0,Good,1.0,Good,56.0,L1,10.12671314,Moderate
,Biloxi,27.0,1.0,,27.0,Good,2.0,Good,22.0,L0,4.044636704,Good
United Kingdom of Great Britain and Northern Ireland,Heswall,33.0,1.0,Good,33.0,Good,4.0,Good,24.0,L0,12.2822599,Good
United Kingdom of Great Britain and Northern Ireland,Aylesbury,34.0,1.0,Good,30.0,Good,1.0,Good,34.0,L0,7.010546036,Good
Russian Federation,Kukmor,54.0,1.0,,37.0,Good,0.0,Good,54.0,L1,9.294849979,Moderate
Brazil,Iguai,15.0,1.0,,13.0,Good,0.0,Good,15.0,L0,2.64963696,Good
Belgium,Oud Heverlee,45.0,1.0,Good,26.0,Good,4.0,Good,45.0,L0,5.558094183,Good
United States of America,Arkadelphia,73.0,1.0,Good,26.0,Good,3.0,Good,73.0,L1,3.97800984,Moderate
Brazil,Mongagua,82.0,1.0,Good,31.0,Good,5.0,Good,82.0,L1,5.612659682,Moderate
Italy,Bitonto,54.0,1.0,Good,53.0,Moderate,0.0,Good,54.0,L1,11.47663867,Moderate
United States of America,Southglenn,76.0,1.0,Good,5.0,Good,1.0,Good,76.0,L1,9.078433555,Moderate
Germany,Morfelden Walldorf,68.0,1.0,Good,38.0,Good,4.0,Good,68.0,L1,1.91869296,Moderate
France,Auchel,31.0,1.0,Good,29.0,Good,1.0,Good,31.0,L0,5.978313522,Good
United States of America,Mount Prospect,62.0,1.0,Good,24.0,Good,1.0,Good,62.0,L1,6.735742188,Moderate
Tunisia,Bajah,47.0,1.0,Good,47.0,Good,2.0,Good,34.0,L0,5.824066768,Good
India,Harsud,50.0,1.0,Good,39.0,Good,1.0,Good,50.0,L3,-5.56700374,Unhealthy
Indonesia,Ngemplak,63.0,1.0,Good,35.0,Good,0.0,Good,63.0,L1,1.540665524,Moderate
Germany,Hersbruck,43.0,1.0,,35.0,Good,2.0,Good,43.0,L0,5.03612735,Good
France,Vauvert,42.0,1.0,Good,32.0,Good,1.0,Good,42.0,L0,10.20698659,Good
Malaysia,Sungai Petani,50.0,1.0,Good,23.0,Good,1.0,Good,50.0,L3,3.27179684,Unhealthy
Germany,Hameln,37.0,1.0,Good,37.0,Good,1.0,Good,24.0,L0,4.632191987,Good
United States of America,Bellaire,91.0,1.0,Good,18.0,Good,5.0,Good,91.0,L1,4.211852253,Moderate
United Kingdom of Great Britain and Northern Ireland,Doncaster,30.0,1.0,Good,30.0,Good,4.0,Good,26.0,L0,3.451726576,Good
Poland,Limanowa,99.0,1.0,Good,32.0,Good,2.0,Good,99.0,L1,-2.512858621,Moderate
Cameroon,Obala,86.0,1.0,Good,24.0,Good,0.0,Good,86.0,L1,4.651397987,Moderate
Turkey,Kozluk,62.0,1.0,Good,43.0,Good,1.0,Good,62.0,L1,10.35785693,Moderate
Romania,Bailesti,40.0,1.0,Good,31.0,Good,1.0,Good,40.0,L0,0.313827416,Good
France,Bourg La Reine,85.0,1.0,Good,16.0,Good,1.0,Good,85.0,L1,0.613580901,Moderate
United Kingdom of Great Britain and Northern Ireland,Loughborough,36.0,1.0,Good,31.0,Good,3.0,Good,16.0,L0,5.681169656,Good
Indonesia,Sumedang,67.0,1.0,Good,31.0,Good,0.0,Good,67.0,L1,-2.814782795,Moderate
Nepal,Butwal,50.0,1.0,Good,20.0,Good,5.0,Good,50.0,L2,7.851448445,Unhealthy for Sensitive Groups
United States of America,Windsor,99.0,1.0,Good,20.0,Good,1.0,Good,99.0,L1,12.27280041,Moderate
Argentina,Yacuiba,12.0,1.0,Good,11.0,Good,0.0,Good,12.0,L0,-2.109122293,Good
Portugal,Portalegre,24.0,1.0,Good,24.0,Good,2.0,Good,18.0,L0,2.716753393,Good
Serbia,Pancevo,59.0,1.0,Good,56.0,Moderate,0.0,Good,59.0,L1,4.987722114,Moderate
United States of America,Cranston,71.0,1.0,Good,44.0,Good,5.0,Good,71.0,L1,5.190234861,Moderate
Netherlands,Vianen,34.0,1.0,Good,34.0,Good,1.0,Good,34.0,L0,-0.491505373,Good
Spain,Tafalla,38.0,1.0,Good,38.0,Good,1.0,Good,9.0,L0,5.499250272,Good
France,Villeparisis,69.0,1.0,Good,29.0,Good,5.0,Good,69.0,L1,1.245282247,Moderate
United States of America,Lake Wales,48.0,1.0,Good,17.0,Good,1.0,Good,48.0,L0,4.750812468,Good
India,Robertsganj,50.0,1.0,Good,31.0,Moderate,4.0,Good,50.0,L3,5.696156753,Unhealthy
India,Mulbagal,83.0,1.0,Good,21.0,Good,5.0,Good,83.0,L1,-1.830515248,Moderate
Indonesia,Parung,50.0,1.0,Good,31.0,Unhealthy,2.0,Good,50.0,L3,5.573264354,Unhealthy
Togo,Niamtougou,56.0,1.0,Good,29.0,Good,0.0,Good,56.0,L1,5.755872973,Moderate
Japan,Sendai,51.0,1.0,Good,51.0,Moderate,0.0,Good,38.0,L0,-3.255359633,Moderate
France,Chaville,72.0,1.0,Good,43.0,Good,2.0,Good,72.0,L1,5.968950794,Moderate
Germany,Coswig,67.0,1.0,Good,40.0,Good,1.0,Good,67.0,L1,7.309110151,Moderate
Guatemala,Petapa,61.0,1.0,Good,25.0,Good,1.0,Good,61.0,L1,11.36187569,Moderate
United States of America,Somerville,49.0,1.0,Good,31.0,Good,2.0,Good,49.0,L0,1.819863686,Good
France,Saint Pierre,51.0,1.0,Good,28.0,Good,0.0,Good,51.0,L1,5.386823302,Moderate
United Kingdom of Great Britain and Northern Ireland,Brighouse,41.0,1.0,Good,37.0,Good,1.0,Good,41.0,L0,3.008925946,Good
India,Doraha,50.0,1.0,Good,31.0,Unhealthy for Sensitive Groups,1.0,Good,50.0,L5,9.881469425,Hazardous
Japan,Iizuka,45.0,1.0,Good,45.0,Good,0.0,Good,38.0,L0,3.935774546,Good
United States of America,Keokuk,50.0,1.0,Good,33.0,Good,4.0,Good,50.0,L0,-1.197934929,Good
Poland,Lancut,98.0,1.0,,35.0,Good,2.0,Good,98.0,L1,4.867459158,Moderate
United States of America,Destin,31.0,1.0,Good,31.0,Good,0.0,Good,25.0,L0,2.582071139,Good
Egypt,Esna,50.0,1.0,Good,37.0,Good,1.0,Good,50.0,L3,1.175944579,Unhealthy
Syrian Arab Republic,Manbij,71.0,1.0,Good,42.0,Good,0.0,Good,71.0,L1,8.273475307,Moderate
,Napier,27.0,1.0,Good,27.0,Good,0.0,Good,15.0,L0,4.548698642,Good
India,Multai,50.0,1.0,Good,14.0,Good,1.0,Good,50.0,L3,13.65386746,Unhealthy
Russian Federation,Novokuznetsk,46.0,1.0,Good,21.0,Good,1.0,Good,46.0,L0,-0.315545244,Good
Italy,Tivoli,55.0,1.0,Good,55.0,Moderate,0.0,Good,51.0,L1,-0.369493425,Moderate
France,Guebwiller,32.0,1.0,Good,31.0,Good,1.0,Good,32.0,L0,5.918210622,Good
